Title,Content,Stars
Not bad but took ages.,Not bad but took ages.,3
Hassel -free,"Clear questions  ,reasonably quick to complete answers.",5
Fabulous value for money,Fabulous value for money. Comprehensive insurance without the huge price. Totally recommended.,5
Completing the Cover questionnaire form,"The procedure of completing the Insurance cover questionnaire became complicated. Thinking I had answered all the questions. Was sent an email then at My Dashboard to log in with my email address then post code then in red ""Sorry, the details you provided cannot be found. Please try again or get in contact with us"". This happen up to five times. Even spoke to Chatline agent about it. In the end I had to leave it the next day. Got access to my quotation and paid. Apparently it was a technical issue which was very frustrating. As a deaf customer my preferred communication was to use email or via helpful Chatline agent.",2
Thanks to Sue for going through my…,Thanks to Sue for going through my renewal policy over the phone. Great service.,5
Very straight forward plenty of…,Very straight forward plenty of guidance throughout,5
Great price,"Great price, very efficient service",5
Quick easy transaction,Quick easy transaction.  Have used insurer before and although never claimed nice to have piece of mind,5
Easy to follow layout of questions,Easy to follow layout of questions,5
Easy to get my house insurance and…,Easy to get my house insurance and reasonable prices,5
Simple renewal process.,Simple renewal process. Good cover at a competitive price.,5
A great experience,It was very easy to deal with your representative on the phone.  The process was clearly set out and we arranged the cover very quickly at a price which seems very fair.,5
Ease of website,Ease of website,5
Its simple and easy,Its simple and easy,5
Satisfied Customer,"I have used Homeprotect now for several Years.  Though I have never had to make a claim. I am certain they would be there for me if needed. Premiums are set at a fair rate. Also, I like the level of communication to let me know the proposed renewal. This does give me the option to check the premiums from other insurers before I renew.",5
So far -so good - easy setup & competitive pricing!,"So far -so good: setting up our home insurance policies easy enough AND quite competitive prices means that early impressions are high. Of course, the acid test of any insurance is how well they perform with a claim, which is something none of us wants to contemplate but our experience to date bodes well for the future!",5
Great customer care,Maisy was efficient and effective. Thank you.,5
it was good sensible,it was good sensible,5
