Title,Content,Stars
Satisfaction with Service,The price is competitive.  I have no issues.  Reason for renewal was satisfaction with service and the reduction in the premium from last year.,5
Moved house and couldnt change my…,Moved house and couldnt change my insurance to take with me! Spent over 30 mins on the phone and to be told they wouldnt insure my new house! Standard 4 bed semi on a new estate - low risk. Complete waste of time. So asked them to cancel the policy and they want to charge me a fee for doing so! Asked to speak to a manager and was given the brush off.,1
Very clear easy to use website,Very clear easy to use website,5
Excellent communication,This company have very knowledgeable people on the phones. They always speak clearly and politely.,5
Easy easy easy,Easy easy easy,5
This company will do anything but pay…,This company will do anything but pay out!  DO NOT trust this company with your insurance policy!,1
Policy details set out clearly in quote…,Policy details set out clearly in quote with easy option to change levels of cover and see how premium is affected,5
Great that you allow small…,Great that you allow small self-employed activities at home when also covered by other professional indemnity and public liability cover.,5
clear and succinct,clear and succinct,5
simple to follow and complete,simple to follow and complete,4
It was fine,"It was fine, it’s an insurance policy it was easy to take out. End of story.",5
Quick easy to use,Quick easy to use,5
Good value quote for the cover offered,"Quote via comparethemarket, easy to follow website and very competitive price for the cover offered.",5
simple to follow instructions,simple to follow instructions,4
Halved the price buying via comparison site v direct,Good experience overall and liked the layout of the policy documents. The compare the market price was half that of Home Protect's direct quote price.,4
Quick and easy,Quick and easy,5
Easy to use site,Easy to do online and live chat agents were helpful,5
Smooth process,Smooth process - helped me to insure my mothers house as its empty after her death and while we sell it. My other insurer would not do this.,5
Fair quote,Fair quote. Site easy to navigate,5
Easy to deal with and straightforward.,Easy to deal with and straightforward.,5
Straightforward,Landed on this insurer via a comparison website and actual quote remained as shown once on insurers website. Happy days!,4
Very good deal,Very good deal,5
On line chat very helpful,On line chat very helpful,5
good value insurance,good value insurance,5
Easy to navigate website.,Easy to navigate website.,5
Easy to complete application and good value,Easy to complete application and the overall value very good including extras.,5
Comprehensive and clear communications,"Comprehensive and clear communications, helpful telephone staff and cost effective no hassle solution",5
Good insurance at good cost,Price was less than last year and the service as good as ever,5
good purchase procedure,"The purchase procedure went very well,without any difficulty.",5
Good Experience,Everything laid out so easy to understand.,5
Very Easy to use site,Very Easy to use site,5
Really easy to use the website quote,"Really easy to use the website quote, and validate that with a support person - and then finish it online.",5
Straightforward helpful staff,Straightforward helpful staff,5
Claim process was very efficient,"Claim process was very efficient. The repair of my watch took longer, and eta's were exceeded. Process to upload images, documents and communication is not very user friendly. Cannot communicate via normal emails.",4
Information presented and tabulated efficiently,Information presented and tabulated in an efficient and easy to understand manner. Website allows to upgrade your choices and give immediate revised quotes,5
Yes Good Company to Deal with for your,Yes Good Company to Deal with for your Home and contents insurance claims My Special thanks goes to Kay Heal who helped me through the process of my claim. She is very Professional.,3
Good service,Good service,5
Shockingly over priced,"Shockingly over priced. Renewed without consent, trouble stopping renewal. An increase of 50% from £1059.96 to £1498.77/ annumn.",1
Generally straightforward,Good site and generally easy to complete. Very good value.,4
Questions answered promptly and…,Questions answered promptly and efficiently.,5
Easy to follow online quote…,I was recommended by a friend and found the experience of obtaining a quote very easy to follow,5
Easy,Easy . Simply,5
I used compare the market,I used compare the market. I was put through to Mohammad and he dealt with my insurance request.,5
straightforward questions to answer,straightforward questions,5
What I thought was building insurance,"What I thought was building insurance, 24 later turned into a “not on your credit “ , so I will cancel and go with someone who wants my money!",3
Absolutely terrible,Absolutely terrible - this company will do anything not to pay out a claim!  I have had 5 underwriting reviews - I’ve had a policy for 2.5 years - they scrape over policy and look for ways not to pay out!  Invent things so they don’t have to pay!  DO NOT trust this company to pay you!  I had a burglary police report / lock smiths report and this company still tried to find anything not to pay out claim…   Unprofessional- scamming company!  Avoid at all costs!,1
quick,"quick, easy and none discriminative",5
Good website that was clear and concise,Good website that was clear and concise,5
Great company and always there when you…,Great company and always there when you need to chat. Highly recommend.,5
The lady that dealt with my application…,The lady that dealt with my application was efficient and knowledgeable.,5
Easy to find & sort out,Easy to find & sort out,5
Very easygoing,Very easygoing,5
Easy to set up insurance.,Easy to set up insurance.,4
easy reasonably priced,easy reasonably  priced,5
It was fine but I am so busy,It was fine but I am so busy,5
Really helpful pleasant people to deal…,Really helpful pleasant people to deal with. Problems quickly dealt with. Excellent well done.,5
I got their in the end,I got their in the end,4
Multiple spam emails with no reply possible,"I haven't had to use their insurance yet, but they have already sent me requests to review them, and have auto subscribed me to marketing emails, despite me explicitly not signing up for that. In addition, their marketing emails *and* ""welcome email from the CEO"" are sent from addresses that doesn't accept replies. So I can't speak for their insurance, but I can say that if you like receiving multiple spammy marketing emails, home protect are the ones to go for.  (EDIT) - I see that ""We’ve detected that this company may be asking for reviews in a way that Trustpilot doesn’t support. This can lead to bias and compromise the reliability of reviews."" - so it's the full monty from them.  (UPDATE 31 July) I am not going to send my policy ref number and all those details through trustpilot.  I sent multiple emails to homeprotect customer services, just reply to them.  again - what a major red flag this is. Reply to  my mails and contact with your own customer services/ my account rather than this 3rd party please. I have been with you 1 day, and sent emails to your CEO, marketing, Data protection and general customer services teams. If those don't get escalated, what does?",1
Home Insurance,Most competitive policy,5
Great quick online service,Great quick online service,5
Good value for money,Got a really good quote even with my use of my outbuilding as a holiday let.,5
Cost,Chosen due to good renewal price on comparison site,5
Fairly Easy to set up,Taking out landlord insurance as the business is getting evermore difficult. Recommended company from a friend so didn't shop around. let's see how it goes. hopefully never need it but good to know its there.,5
Quality insurance at bargain price,Just renewing my policy and it was quick and straightforward and a great value quote which was considerably cheaper than last year! Not something that happens usually! The policy was extensive covering home contents and non-standard building insurance app for under £300…! Thank you.,5
Extremely unprofessional,"Extremely unprofessional  Have no intention of paying out, find lots of excuses why not to pay… Close cases to stop payment!  This company will take advantage of anyone vulnerable- to not pay out claims!",1
Good terms,"Good terms, good cover, easy to arrange.",5
Great building insurance provider,They provided a insurance policy at the most competitive,5
Very easy and not too confusing to set…,Very easy and not too confusing to set up and only time will tell when I actually use it how good they are. Thank you,5
Exceptional relief having just packed…,Exceptional relief having just packed our house up to move out two weeks before exchange and completion (due to starting new job elsewhere in the country!) - to get empty house insurance - so few obvious ones do but  friend recommended this!!!  Yay!!! Quick and efficient...,5
Great price & cover,Great price & cover,5
So far so good.,So far so good. We went with Homeprotect as they offered a broad cover that meets our needs at home and out and about,4
Simple explanation,Simple policy wording,5
Great service and competitive rates,"We have been with Home Protect for a number of years and have always received excellent service. On the occasions we have contacted customer service, we have received polite and efficient advice, and the phone is answered quickly. Renewal premiums have always been competitive and usually cheaper than comparison sites can offer.",5
best quote by a county mile!,"Easy site to navigate and best quote by a country mile,have renewed again with Homeprotect.",5
Ease of use,Ease of use. Clarity of questions and explanations.,5
Very pleasant & straightforward to deal…,Very pleasant & straightforward to deal with.,5
Everything was explained clearly,Everything was explained clearly. Any questions I asked were answered fully.,5
I needed cover for my mothers house…,I needed cover for my mothers house while it was being sold. The live chat said I would be able to do this.,5
Satisfied with my wish to change from…,"Satisfied with my wish to change from another provider.   Also, I have to mention the very good speaking voice of Andy.   This is a bonus because many phone operators are terribly unclear.    Thank you",5
The questions asked related perfectly…,The questions asked related perfectly to the subject,5
Good service,Good service,5
quick to get quote,quick to get quote,5
home insurance,Easy to use website,5
Clear information,Clear information,4
easy and value for money,easy and value for money,5
Simple clear process and pricing.,Simple clear process and pricing.,5
Easy to use website,Easy to use website.  The policy was set up quickly and efficiently.  Easy to review all relevant details that were clearly set out,5
Good cover for an excellent price,Good cover for an excellent price,5
Renewal was straightforward,"Renewal was straightforward. They gave all necessary information, including last year's premium, in their initial letter so no additional work was required.",5
The process was easy and straightforward,The process was easy and straightforward,5
Home insurance,Great cover and it's very competitive price.,4
Informative and option choices.,Informative and option choices.,5
Very easy quote process,Very easy quote process,4
Efficient application process and good…,Efficient application process and good value cover.,5
I've been really impressed with the attentive team,I've been really impressed with Homeprotect so far. Their team are attentive and professional. I had to make a claim recently and it was handled quickly and fairly – which has given me peace of mind on my cover. Also they seem really well set-up - its easy to speak with someone and they use email for communications too. I would recommend them.,5
mostly clear and simplified,mostly clear and simplified,4
Value for money Cover,Value for money Cover,4
Fast Simple and Easy,Fast simple and easy to follow on screen instructions.,5
Comprehensie and easy to do,Comprehensie and easy to do,5
Good value and easy to follow,Good value and easy to follow,5
Helpful live chat,Helpful live chat.  Clear information on pricing,5
excellent,"Easy on line system, fair prices",5
Great price insurance without compromising coverage.,Good explanations. Easy to follow on the web.  Everything I wanted insured was done exactly how I wanted it.  Also very competitive price without compromising the cover I wanted.,4
Fair price,Good price for good level of cover,5
Simple to follow,"Simple to follow, clear to understand so easy to make a decision. Competitive",5
Easy to apply,"Easy to apply, reasonable quote.",5
Clear and easy form to fill in.,Clear and easy form to fill in.,5
Easy online application with prompt…,Easy online application with prompt follow up  by phone to discuss our non standard circumstances. Very competitive quote.,5
Help and support from a real person and company that helped,"So when you are left out to dry by a refusal to renew a policy you’ve had for years because you’ve made three very small claims, it was a nightmare finding a company who would help. Home protect offered a real person with no algorithm to work through a home and contents policy. The relief felt, support given was amazing. I’ve not made a claim as haven’t needed to, but so refreshing to have a company and person who listens and helps. So far I have no complaints .",5
Information clearly given,"Information clearly given, and easily understood.",4
Simple to follow,Simple to follow,5
I made a schoolboy error!,I made a schoolboy error in buying insurance for my home. My existing insurance with another company runs out today! When I checked the insurance I’d paid for a month was scheduled for the 25th August. A delightful and helpful lady managed to rearrange the insurance back to today! What a relief!,5
Very simple to complete online forms,Very simple to complete online forms,5
Easy to navigate,"Easy to navigate , easy change of details required , smooth and quick , excellent",5
Unauthorised payments taken when the policy was cancelled,"Having taken out insurance for my elderly mums property for just over a year, no issues. Mums house was empty and she was in dementia care since 2022,  I notified Home Protect Home insurance that the property was sold in Jun2025 and cancelled the Direct Debit. I checked mums bank last night and Home Protect have taken over £46 that was unauthorised and because the direct debit was cancelled the staff must have looked for the first payment that was taken in 2023 so totally disgusting that a ln insurance company could be so ruthless with a vulnerable old lady who has had her home sold to pay for her care fees. I complained and will take this to the FOS.",1
HomeProtect offer cheaper deals to new customers,I have been with HomeProtect for a couple of years and they promise that they will not offer new customers cheaper insurance.   This is not the case as I put in exactly same details on one of the search engines and HomeProtect offered same insurance at £ 50.00 cheaper when house insurance due in May 25.   I contacted customer services who promised to refund the £ 50 but said this would probably be in 60 days time.   I received £ 25 from them not the £ 50.   I have emailed them twice but no response.  Clearly they do offer better terms to new customers and I will look elsewhere next year.  Following this review HomeProtect have been in touch and refunded the £25 and also an extra £ 50 for goodwill.    Nice customer services touch - but they should have responded to my emails and not offered a cheaper price online.,3
Good value for money,"The policy is competitively priced and offes good value for money.  The initial purchase was very easy via the website and renewal also hassle-free at the market rate.  I have not, fortunately, any experience of the claims process.",4
Very easy to get a quote,Very easy to get a quote,5
Easy to use competitive price,Easy to use competitive price,5
Home Insurance,Easy to complete. Cheapest quote. The fact that you can select the level of insurance you what and costs associated with them,5
Don’t use this company,Don’t use this company. They don’t deal with their claims. We have been without a kitchen for 18 months while they continue to deliberately delay and play games. Their claims handling process is terrible and no-one actually gets anything done. We have had to take our claim to the Financial Ombudsman.,1
I found the completion of the details easy to follow,I found the completion of the details on the proposal  Form easy to follow and straight forward.,5
Professional level of service,"I recall when first taking out the policy the people were helpful and friendly. Annual renewal procedure is hassle free. Online dashboard experience is good. Note I cannot comment on what it's like to make a claim, as none have so far arisen, but nothing in particular makes me concerned.",5
VERY EASY TO COMPLETE,VERY GOOD WEB SITE TO USE WHEN TRYING TO GET INSURANCE ON A HOUSE YOU DONT LIVE IN.,5
Excellent quote and site,Excellent quote and site,5
Insurance,Easy website to use,5
Easy to use.,Easy to use. Nice absence of jargon. Straightforward and unfussy.,5
The Advisor I dealt with was amazing,"The Advisor I dealt with was amazing: so polite, knowledgeable and patient, given the length of time it took us both to complete the process.  The quotation was so competitive in comparison to others I received, so much so that I  will now get quotations for my other insurance requirements   I am now considering changing all my insurance require",5
Taking out a Home Protect insurance,The agent we spoke to sorted out all the queries and problems,5
Advisor was Helpful and Efficient,"Advisor was helpful, professional and efficient",5
Simple to access and find the quote,"Simple to access and find the quote, with follow up communications, and price was better than most,",4
Plain & Simple Quote,The questionnaire was easy to complete and simple to answer. Quote came in really quickly.,4
The website was easy to navigate.,The website was easy to navigate.,5
review,the information was clear and fast.,5
Simples!,Easy to use for a luddite,5
Was very easy process to buy the house…,Was very easy process to buy the house insurance,5
My issue was dealt with respect and…,My issue was dealt with respect and kindness,5
I only joined yesterday but seems good,I only joined yesterday but seems good,5
Highly Recommended.,I have only been with Home Protect since October 24 and I have found them to be a professional and caring company whom I would highly recommend to anyone.,5
.Easy access on compare the market,.Easy access on compare the market,5
Ease of insuring a property that is…,Ease of insuring a property that is vacant at the moment.,5
reasonably easy understanding and…,reasonably easy understanding and completion of forms,5
It seems you can do anything on the…,It seems you can do anything on the website except cancel the policy. Whilst I’m sure that’s so you can get the hard sell to keep an unnecessary policy active it’s a glaring omission.  The hours of operation for the team you have to speak to happens to coincide with the hours most of us are at work.   Not good.,3
Easy to access a quote,"Easy to access a quote, first time user, had no problems.",5
Terrible company who find any excuse…,Terrible company who find any excuse not to payout out!  My advice is do not take any cover with homeprotect! Absolutely shocking response and take no responsibility for cover!,1
Ease of buying the product,Ease of buying the product,5
Via Money Saving Expert,Via Money Saving Expert. Fairly easy to fill out form. Keen price quote,4
Contents renewal quote,"Effecient,well put together forms ,expressing what was was covered in plain english and offering competative rates.",5
very precise pro former,very precise pro former,5
Easy to navigate good price.,Easy to navigate good price.,5
all good no issues,all good no issues,5
Competitive pricing,"Competitive pricing, good information and helpful online support",5
Easy to navigate your site,Easy to navigate your site,5
Helpful chat team not just a bot,"Clear web site , chat line was responsive and informative with email follow up to everything that was said and advised. Extensive range of additional product extensions at very reasonable prices",5
Swift and simple quote process,Easy to complete quote with a number of policies offered and clear additional services available.,5
So easy to navigate,So easy to navigate,5
Very Good,Really easy to use and a great price,5
Misleading headline price,The quote  included  accidental damage  but when I looked at the detail this required additional payment  so  it  made  process of price comparison  more  difficult than it needed to  be,3
Premium has virtually tripled,"Premium has virtually tripled, and of course, with auto renew on, how many people just let it renew assuming that they are true to their word that you’ll get the same deal, or better, than a new customer? Well I’m not feeling like that I’m afraid! Shame, as my original premium was very competitive.",1
Simple and easy site to get the…,Simple and easy site to get the insurance in place,5
FIRST TIME USING YOURSELVES,"FIRST TIME USING YOURSELVES, SO FAR SO GOOD.",5
quick and easy,quick and easy,5
Cheapest,Cheapest. Sorry.,5
Very clear form easy to understand and…,Very clear form easy to understand and complete,5
It was very good,It was very good,5
Easy to apply and pay for,Easy to apply and pay for,5
Good quote and easy to compleat,Good quote and easy to compleat,5
Put the premium up by nearly 33%,"Put the premium up by nearly 33% with no change in circumstances, no claims, no justification. If they don’t want my business, fine, but this hike is unacceptable.   Hilarious, the “Customer Relations” team reached out and tried to justify the massive hike in premiums. Typical boilerplate letter with absolutely nothing to give cause for the £315 increase. My house is no different to last year, I live in a low crime area, literally nothing has changed other than the greed of Homeprotect. The property is maintained meticulously, has a working alarm. I have an additional year of NCD as well. It’s a shame as they had my business last couple of years and were at least competitive. Now they are just another typical insurance provider who price gouge loyalty.",1
The whole process was easy to follow…,The whole process was easy to follow and it should be easy for others to follow too.,4
Very very very good,"Very very very good, reassuringly good on the face of it. No further dealings to make a sound judgement",5
"Quick, easy and competitive",Quick and easy and competitive,5
Ideal insurance for unoccupied property,I was surprised when my high street known insurance company did not insure my house when it was unoccupied due to renovation works. I turned to Home Protect who charged a very reasonable rate.,5
easy,"easy, expalanotary forms",5
Lovely to deal with real people,Lovely to deal with real people.  They are all so helpful. The price was also better than anyone else could do for us. Would recommend them to everyone,5
Found the process easier than I'd expected,Just that I'm not particularly confident online forms etc..however I'm pleased to say that it all seemed pretty straight forward. The information you already had was accurate and made the process simpler.Plus the quote seemed reasonable and about what I was hoping to pay.,5
Seamless transaction.,Seamless transaction.,5
Quick and easy,"Quick and easy, good rate. Saved 50% on my previous insurer!",5
Easy online system,Easy to follow through online,5
I found the website to be thorough and…,I found the website to be thorough and easy to use and I am pleased with the price.,5
Very simple to navigate,Very good site,5
Affordable home insurance,Great insurance cover at an affordable price,4
Good price and easy renewal process .,Good price and easy renewal process .,4
Easy site to use,Easy site to use,5
Home contents insurance highly recommend,Strongly recommend this insurance good customer service and very reasonable prices- Andy Mousoulou ( award winning events manager 2012 ),5
Very easy to use portal,Very easy to use portal.  Got everything sorted in less than ten minutes,5
Super quick bargain,Excellent Abd always best to do a comparison yearly.,5
easy to organise online,easy to organise online,5
Dissapointing emergency cover,"I called to make a claim on my emergency cover due to a leaking hot water pipe under the kitchen sink. At 4.30 pm, I was told I could a expect a call in an hour to confirm the appointment time. At 6.20 pm I was offered an appointment for the next day. I would expect a much quicker response for 'emergency cover'. I explained  what the problem was three times and asked if I should arrange someone myself or if they would cover replacing the pipe as part of the policy, I was told they ""aim to fix during the visit"" which led me to believe I could rely on them. Then at 3.30 on a Friday their engineer has been and done nothing (when a 5 minute job would do it) , saying it wasn't covered and I needed to get a plumber. I didn't even have the option of paying them to do the job. I had made it very clear the pipe needed replacing and offered to arrange it independently, instead, over 24 hours with no hot water was wasted, only for nothing to be done, and I now have to pay a premium to get an actual emergency plumber out, when I could have had this done already in normal work hours today if I hadn't realised lied on Home protect. Very dissapointed in this experience.",1
New policy,Great quote to replace existing policy,5
Ease of quotation & communication…,Ease of quotation and communication prior to inception. Cover starts now and we obviously hope that we don’t have to rely on the key aspect of any insurance product - the claims service. But happy so far that we changed carrier.,5
easy online forms to complete,easy online forms to complete,5
Competitively priced and easy to…,Competitively priced and easy to arrange.,5
Quick service that was easy to use…,Quick service that was easy to use online.,5
It was quite simple to get the…,It was quite simple to get the insurance.,5
Straightforward forms,Straightforward forms,5
Very good and kept the price down for…,Very good and kept the price down for another year,5
Cheaper than others,Cheaper than others,4
Home insurance,Easy to set up. Hassle free. Good price,5
really easy and good price,really easy and good price,5
Excellent service,All query answered,5
Pleased with my renewal costs.,"When I phoned them, they were very helpful and polite. I was also very pleased with my renewal costs this year.",5
Simples,"Quick and easy to use, thank you.",5
Easy to navigate,Easy to navigate - Clear direction given over policy questions,5
No comment tiday,No comment tiday,4
Easy to use Easy to use and understand.,Easy to use and understand. Good price.,5
For an insurance company that is…,"For an insurance company that is providing cover for your home, trust and competency are key, as well as competitiveness.   Having been a  satisfied repeat customer with Homeprotect,  I recently tried to renew my insurance. Que stress and trust decimation.  1) The renewal price was above that for what they were quoting on cost comparison website. The reason given were minor details , which I updated with them ,and a ""claim"" in 2023. We enquired back then if something was covered but did not to my knowledge ever make a claim. I could not be told what this claim was as it was 'with the claims team'. I have requested full information and clarification as to what reasonable steps they took to inform me that a call for info could affect premiums. No reply despite the agent agreeing to look into it.   2) The next day when attempting to pay the renewal, the cost had gone up by about £100 because "" the previous operator had pressed a button"". They said the would honour the quote but after a complex process with accounts. The operator repeatedly changed the story of what was happening. Talk about building confidence!   3) With trust mostly gone but payment processing, I requested a written summary of how the refund and cashback would be processed and by when, including who would be chasing it up on my behalf. This was apparently a step too far from what was possible. I suggested they try harder.  I'm still waiting for this confirmation and for details from their claims team. I understand that insurance companies play a game to be competitive, but clear communication, effective systems, and an iota of competence surely are still useful for their business model.",2
Nice easy & clear form,Nice easy & clear form,5
Good process,Good process,5
Excellent website,"Excellent website, easy to use.",5
EASY ONLINE,EASY ONLINE,5
Quick and easy to navigate,Quick and easy to navigate. Helpful staff when asking a question online,5
Simple process,Simple process,5
Very easy to set up,Very easy to set up,5
Easy to do a quote and complete…,"Easy to do a quote and complete purchase, very pleased",5
helpful straight forward web site and…,helpful straight forward web site and does all I need.,5
They gave me a product that suited me.,They gave me a product that suited me.,5
Since I took out home insurance   I…,Since I took out home insurance   I have never made a claim and was appalled to find out thus year I'm being CHARGED DOUBLE  for a Renewal.,1
Responsive,"Responsive, quick, competitive",5
Straight forward process,Straight forward process,5
Was easy todo,Was easy todo,5
A very simple process with appropriate questions,A very simple process with appropriate and easy to understand questions. Useful to have a copy of any existing policy by your side to check the details and correct for your needs,5
They made the whole process easy,They made the whole process easy,5
Very easy to use,Very easy to use. Good coverage.,5
HomeProtect - Making things Super Easy,"Found HomeProtect via Compare the Market, soon as i went to their website everything was super easy providing a smooth customer experience from start to finish!",5
"Was easy to fill in and complete,very…","Was easy to fill in and complete,very competitive price.",5
Quick and easy problem resolution by…,Quick and easy problem resolution by using the chat room option.,5
professionale and on time,professionale and on time,5
Good service but loud background noise on call,My only complaint is the noise in the background whilst talking to your agent made the process quite difficult. Prabhakar who I was in contact online was excellent,4
Clear instructions,Clear instructions,5
Very helpful,"Very helpful, polite and easy to speak to😊",5
Good service …,Competitive price and full information provided.,5
Competitive quote and clear website…,Competitive quote and clear website information.,4
quick and easy to navigate.,quick and easy to navigate. I was upset previous insurer wanted to charge more for an unfurnished empty property. While you also will not cover for certain events it came down to the same level of cover at a reasonable cost.,5
Not made claim as yet so can’t comment…,"Not made claim as yet so can’t comment on that but the renewal process was fairly straightforward except when I contacted to see if any cheaper rate, they said no but said I could have £15 cashback after renewal, good except I have to wait 60-90 days to get that. Surely once the renewal is paid that should be paid also.",4
Great service at excellent pricing,"Found these folk via MoneySuperMarket ... the initial quote was excellent value, although reading the detail made me want to revise some of my info. Had an 'on-line' chat at the weekend, followed by a call today. Both agents were excellent, friendly, helpful - and what's more, despite upping my cover and adding specified items, there was no change in premium for this year. Very impressed - including the welcome contact: even if it is 'autogenerated', seems to be borne out by my real time experience of customer service.",5
"Easy navigation, good value, no “waffle “","Home protect, straight forward, no waffle, easy navigate, good value",5
First class service and very supportive…,First class service and very supportive and understanding. Thanks Jack,5
Easy to use website,Easy to use website,5
Hats off to Home protect for making taking out cover easy.,"I had the worst experience trying to sort with Admiralty yesterday, and couldn't clearly view alternative levels of cover. I don't like talking to bots. I also would very much like to confirm you will post my insurance policy t me? That at least was one thing I was pleased about with what they offered.",5
No refund for a policy that I thought I…,"No refund for a policy that I thought I had cancelled!  Apparently if you’re a tenant, not an owner, there’s no means of proving you moved out.  I only found out I had 2 policies when I went to change personal details! Correspondence about the unnecessary policy had gone to the old address.",3
Quick easy sorted,Quick easy sorted,5
Understanding,The staff are lovely to talk too and quick and easy to get 5hrough to speak to someone.,5
SIMPLE COMPREHENSIVE AND GOOD VALUE,SIMPLE COMPREHENSIVE AND GOOD VALUE,5
AVOID,"Be very careful! This company took £650+ for buildings insurance. 11 months later, I called to report a minor issue (not a claim) and I was told I did not exist on their database. I gave my policy number but was still told there was no record of me having insurance with this company. The call handler logged a formal complaint and I said I would need to get insurance urgently elsewhere. Whereupon I was told there would be a cancellation fee for the non- existent insurance! To rub salt in the wound they repeatedly tried to take money from my account to renew! Renew what? Needless to say, I rate this company despicable and I took the case to the ombudsman. In any other circumstances, if you buy something and don't receive it, you get your money back but not it seems in the case of insurance. Somehow, I've been fobbed off with 'The company probably would have had to honour a claim'. So £650+ to 'probably' be covered. If I had money I would drag this company through the courts which is exactly what it deserves. They tried to give me £50 to shut me up and the ombudsman has stipulated this be increased to £200 compensation. To date, I still don't know where the £650+ went and who benefitted from it but for 11 months my property wasn't insured but it 'may' have been covered in an emergency. In short Home Protect DON'T protect. AVOID-1 star is the lowest I could give and don't rely on the ombudsman either. I have reported this company to the FCA. Update- I've been asked to supply more details -policy number! As I don't exist on their database I'm not sure how useful that will be. Hopefully, they'll have a record of my complaint. I would welcome information as to what happened to my £650+ that was taken but wasn't used to insure my property.",1
Policy was easy to set up,Policy was easy to set up,5
Ease of process,Ease of process,4
very streamlined with all the good…,"very streamlined with all the good links etc... found this very easy! You could have certain points 'tips' like, excess increase, reduces premium etc, anyway am sure you have thought of this",5
Simple to complete,Simple to complete,5
Flood,Maisy was fantastic and understanding of our problem and delt with it quickly and professionally and understood how upset we were and delt with us in a calm and friendly manner which made us relax and relieved that help was on the way.thank so much amazing service,5
Purchased a new policy via a process…,Purchased a new policy via a price comparison site. Was easy to navigate and tailor quote once on Homeprotects page. Purchase experience was overall pretty straight forward.,5
Empty property insurance,Easy to purchase.  Good price.,5
Easy to set up,Easy to set up,5
Easy to use website and very clear…,Easy to use website and very clear instructions with the insurance add ons.,5
Simple to use,Simple to use,5
easy and cheaper than Admiral insurance,easy and cheaper than Admiral insurance,5
Top class,"Simple, reliable and inexpensive. Perfect.",5
Simple application process,"Simple application process, easy to follow on screen, lots of options, very competitive quote.",5
Excellent service,"Excellent service, extremely competitive rates and the first time for ages that the renewal was actually reduced this year",5
Wonderful help,Did an online quote but wasn’t 100%sure of some of the questions so phoned and spoke to Kelly. She was fantastic. Explained everything clearly to me and as a result my quote actually went down as she clarified a couple of points. Fabulous service and would definitely recommend them. Thank you Kelly. What an asset to the organisation.,5
Efficient and helpful,Efficient and helpful,5
Excellent all round,"The website made obtaining and editing a quote very easy.  The process was simple and clear.  I used the chat several times, and agents were most helpful answering all questions and providing reassurance.",5
flexible quote,Helpful website with clear explanations.,4
Easy to use site,Easy to use site. Easy to change options and change the price without having to go forward and back,5
Timber framed building accepted,Seems fairly straightforward but not keen on the charge if you want monthly payments,4
Quick and clear,Quick and clear. The most painless home insurance purchase I have experienced. I even saved money!,5
A very easy process,"A very easy process, with easy to answer questions and a reasonable premium",5
Very straight forward,Very straight forward,4
Easy process,Easy process,5
SITE EASY TO USE,SITE EASY TO USE,5
Easy to complete Quote Details,Easy to complete Quote Details,5
Competitively priced and easy to edit…,Competitively priced and easy to edit quote details.,5
BUILDING AND CONTENTS,NOTHING IN PARTICULAR,4
Clear formats easy to alter and…,Good price that stayed reasonable when additional criteria were added. Clear formats easy to alter and recalculate. Straight forward and efficient.,5
Saved over £100 over Direct Line,"A bit long winded, but got there in the end. AND still saved over £100 over Direct Line!",5
Easy and straightforward,Easy and straightforward,5
Inheriting property,"At at very sad time of a loss,your helpful staff made it not stressful to deal with sorting insurance,Thank you very much.",5
easy form to fill in,"easy form to fill in, very straightforward",4
Excellent customer service,Excellent customer service,5
Homeprotect Customer Service,"Marina was very personable and easy, pleasant to speak with. There is more to be done regarding my particular query which is why it wasn’t resolved today but this does not in any way detract from Marinas professionalism and genuine care - highly recommended",5
Easy and Straightforward online…,"Easy and Straightforward online application. And a good competitive price, very pleased will use again.",5
"Clear, quick and simple","Understandable questions, very clear, simple to complete and very re-assuring of what cover is given.",5
Simple process,"Simple process, good price and underwritten by major company.",5
A competitive price for rebuild…,A competitive price for rebuild insurance for my elderly aunt’s empty property which not all insurers will cover. Gives peace of mind.,5
Empty property insurance,Easy to navigate through and clear and concise information. No silly small print things that no one understands. Was looking for an insurance for a probate property until i sell it and this was by far the cheapest with no frills.,5
Insurance for unoccupied house,Needed insurance for an unoccupied house and got it quickly at a good price,5
The Homeprotect web page was…very good and easy to use.,The Homeprotect web page was straightforward and easy to use.  I had tried others first which were not so good so it was good to find an insurer that was prepared to give us the cover that we required at a reasonable price.,5
Competent and professional company,"Competent and professional company. All requirements explicit. Plenty of time to make decisions re policy. Thoroughly satisfied, thank you.",5
Clear and easy to understand website,Clear and easy to understand website. All options are explained and clear what i am selecting.,5
Amazing service,Amazing service,5
That insurance is affordable,So simple and straightforward to fill out online form and quickly 👍😀,5
Excellent customer service via web chat…,Excellent customer service via web chat and also an Excellent policy price for an empty property.,5
EASY RENEWAL,REALLY STRAIGHTFORWARD & QUICK & EASY & EXCELLENT VALUE QUOTE,5
Quoted through Compare the Market and…,Quoted through Compare the Market and was the best quote. Easy to process and no glitches on the website excellent,5
Good so far,"Easy to navigate web site, helpful advisors, reasonable prices.",5
probate house insurerance,easy to use for probate buildings cover,4
